"contrast","AVISITN","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"Esk56_vs_Placebo","28",-9.35823431185635,1.10316558301179,651.098879389896,-11.52442584961,-7.19204277410268,-8.48307312697982,1.4739099429409e-16
"Esk84_vs_Placebo","28",-8.89354641816402,0.878726299640008,596.229637956224,-10.6193215707087,-7.1677712656193,-10.1209516795019,2.51378261381357e-22
